Номер [№],Дата [дд.мм.гггг],Глубина манометра [м],Dшт [мм],Руст: осредненные параметры  [бара],Рзаб [бара],Pлин [бара],Руст: На конец режима  [бар],Рзаб [бар],Рлин [бар],Туст [ С],Тна шлейфе [ С],Тзаб [ С],Tлин [ С],Дебит газа: Стандартные условия  [1000 м3/сут],Дебит ст. конд. [м3/сут],Дебит воды [м3/сут],Дебит смеси [1000 м3/сут],Дебит гааз: Линейные условия  [м3/сут],Дебит кон нестабильный [м3/сут],Дебит воды [м3/сут],Нэф [м],Рпл. Тек (послед точка на КВД) [МПа],Рпл. Тек (Расчет по КВД) [МПа],Рпл. Тек (Карноухов) [МПа],Pсб [ атм],Pсб [ бар],Ro_g [кг/м3],Ro_c [кг/м3],Ro_w [кг/м3],Удельная плотность газа  [б/р],G_total [кг/с],КГФ [г/м3]
804,05/06/08,3576.30,7.94,249.60,370.10,101.80,249.00,359.60,101.80,53.00,31.70,103.20,32.50,214.70,83.60,0.40,231.25,1610.37,131.30,0.40,56.80,45.25,56.50,nan,93.60,92.38,0.8060,801.0,1000.0,0.6694,2.78,311.91
804,06/06/08,3576.30,9.53,233.50,364.60,101.30,231.00,338.10,102.40,58.80,37.60,103.00,38.60,290.59,104.70,1.40,309.00,2310.23,158.50,1.40,56.80,45.25,56.50,nan,92.90,91.69,0.8060,801.0,1000.0,0.6694,3.70,288.60
804,07/06/08,3576.30,11.11,213.40,357.10,101.60,211.00,314.80,100.60,63.60,42.80,102.60,43.40,368.04,114.30,1.90,388.11,3039.49,172.30,1.90,56.80,45.25,56.50,nan,91.40,90.20,0.8060,801.0,1000.0,0.6694,4.52,248.79
804,08/06/08,3576.30,12.70,191.60,347.40,98.40,187.00,291.50,99.00,64.70,46.20,102.00,46.10,434.66,121.30,3.30,455.21,3824.08,181.50,3.30,56.80,45.25,56.50,nan,89.20,88.03,0.8060,801.0,1000.0,0.6694,5.22,223.56
804,09/06/08,3576.30,14.29,171.90,337.70,99.20,169.00,270.30,99.50,64.00,49.40,104.40,49.90,483.28,129.80,4.60,504.59,4299.10,190.60,4.70,56.80,45.25,56.50,nan,89.70,88.53,0.8060,801.0,1000.0,0.6694,5.77,215.15
804,17/06/11,3576.30,9.53,199.50,286.40,106.36,199.50,286.60,106.19,57.50,38.80,102.64,38.98,251.70,76.80,0.60,268.90,1921.00,119.00,0.60,56.80,41.22,48.30,nan,90.70,89.51,0.8127,789.8,1000.0,0.6750,3.08,241.13
807,09/05/07,3667.00,7.94,252.00,354.33,102.93,252.00,354.20,101.57,56.00,nan,105.30,33.00,234.86,56.07,0.00,261.28,1807.40,90.40,0.00,57.20,38.74,50.86,50.10,100.90,99.58,nan,787.00,nan,0.66,nan,188000.0
807,10/05/07,3667.00,9.53,250.00,350.20,103.19,250.00,349.10,103.32,61.00,nan,105.20,39.06,326.22,73.89,0.00,362.08,2532.40,118.00,0.00,57.20,38.74,50.86,50.10,100.10,98.79,nan,787.00,nan,0.66,nan,178000.0
807,11/05/07,3667.00,11.11,240.00,344.00,105.67,240.00,344.10,105.59,65.00,nan,105.20,44.90,429.72,92.13,1.01,476.20,3392.30,146.00,1.00,57.20,38.74,50.86,50.10,102.00,100.67,nan,787.00,nan,0.66,nan,169000.0
807,12/05/07,3667.00,12.70,228.00,336.70,108.10,228.00,343.00,108.14,42.00,nan,105.10,49.84,532.28,109.81,1.38,589.14,4228.80,175.50,1.40,57.20,38.74,50.86,50.10,103.80,102.44,nan,787.00,nan,0.66,nan,162000.0
807,18/08/09,3579.00,7.94,259.61,365.86,103.47,259.00,365.90,101.42,52.00,27.20,105.90,28.09,243.64,70.73,1.14,257.64,1713.80,117.30,1.20,62.57,41.23,nan,nan,93.20,91.98,nan,793.70,nan,0.66,nan,230.0
